Sigla do Cliente;Nome do cliente;Código do cliente;SE;Número do contrato;Status do contrato no ERP;CNPJ do Cliente;CDIP de Abrangência;e-Carta Integração;Armazenamento;Prazo de Armazenamento;Status do contrato no SGD;Fragmentação
WS;AGENCIA NACIONAL TRANSPORTES TERRESTRES;9875;SUPERINTENDENCIA ESTADUAL BSB ;9912419875;Ativo;04898488000177;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
BBA;AGERBA;6053;SUPERINTENDENCIA ESTADUAL BA  ;9912476053;Ativo;02962576000165;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
MSF;AGETRAN - MSF;3322;SUPERINTENDENCIA ESTADUAL MS  ;9912513322;Ativo;02925027000110;CDIP - Curitiba;Não;Sim;180;Ativo;Não
GOG;AGR;5952;SUPERINTENDENCIA ESTADUAL GO  ;9912275952;Ativo;03537650000169;Desativado CDIP/BSB2;Sim;Não;30;Ativo;Não
UW;AGU - ADVOCACIA GERAL DA UNIAO;8286;SUPERINTENDENCIA ESTADUAL BSB ;9912298286;Ativo;26994558006830;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
DGU;AGU - ADVOCACIA GERAL DA UNIAO;8287;SUPERINTENDENCIA ESTADUAL BSB ;9912298286;Ativo;26994558006830;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
MTG;AGUAS DE SINOP;4914;SUPERINTENDENCIA ESTADUAL MT  ;9912624914;Ativo;20930953000166;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PIX;AGUAS DE TERESINA;3062;SUPERINTENDENCIA ESTADUAL PI  ;9912423062;Ativo;27157474000106;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
MAA;AGUAS DE TIMON SANEAMENTO LTDA;225;SUPERINTENDENCIA ESTADUAL MA  ;9912589320;Ativo;21716748000165;Desativado CDIP/BSB2;Não;Sim;30;Ativo;Não
ALT;ALAGOAS TS;5299;SUPERINTENDENCIA ESTADUAL AL  ;9912340399;Ativo;12473062000108;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
KI;ALELO KIT FATURAMENTO;2816;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
KM;ALELO REEMISSÃO DE SENHA;2814;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
KQ;ALELO REENVIO;2815;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
XL;ALGAR EMPREEND. E PART. S/A;31;SUPERINTENDENCIA ESTADUAL MG  ;9912245067;Ativo;17835026000152;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MIA;ALGAR TELECOM;5143;SUPERINTENDENCIA ESTADUAL MG  ;9912625143;Ativo;71208516000174;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
PRL;ALIAS TECNOLOGIA SA - PRL;5160;SUPERINTENDENCIA ESTADUAL PR  ;9912555160;Ativo;00745812000166;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
SQF;ALLCARE ADMINISTRADORA DE BENEFICIOS;6220;SUPERINTENDENCIA ESTADUAL SPM ;9912296220;Ativo;07674593000110;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
LT;ALLIED TECNOLOGIA S.A.;8416;SUPERINTENDENCIA ESTADUAL SPM ;9912394819;Ativo;20247322000147;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SQU;ALPHAMONEY PROMOTORA DE VENDAS LTDA;2167;SUPERINTENDENCIA ESTADUAL SPI ;9912382167;Ativo;08531145000120;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SSU;ALPHAMONEY PROMOTORA DE VENDAS LTDA;8216;SUPERINTENDENCIA ESTADUAL SPI ;9912382167;Ativo;08531145000120;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SXK;AMERICAN TOWER;5478;SUPERINTENDENCIA ESTADUAL SPM ;9912405478;Ativo;04052108000189;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
ALI;AMGESP;7992;SUPERINTENDENCIA ESTADUAL AL  ;9912607992;Ativo;07424905000138;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
UG;AMIL ASSISTENCIA MÉDICA INTERNACIONAL SA;84;SUPERINTENDENCIA ESTADUAL RJ  ;9912420084;Ativo;29309127000179;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
BQ;AMPLA ENERGIA E SERVIÇOS S.A.;437;SUPERINTENDENCIA ESTADUAL RJ  ;9912350437;Ativo;33050071000158;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
BR;AMPLA ENERGIA E SERVIÇOS SA;438;SUPERINTENDENCIA ESTADUAL RJ  ;9912350437;Ativo;33050071000158;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
FF;AMTT - ARAGUAINA TOCANTINS;4725;SUPERINTENDENCIA ESTADUAL TO  ;9912528668;Ativo;20344698000170;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
GOO;AMTT DO MUNICIPIO DE PLANALTINA GO;1998;SUPERINTENDENCIA ESTADUAL GO  ;9912641998;Ativo;11137827000168;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
RJE;ANCINE;733;SUPERINTENDENCIA ESTADUAL RJ  ;9912510733;Ativo;04884574000120;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
PZE;ANDIRA PREF MUNICIPAL;2552;SUPERINTENDENCIA ESTADUAL PR  ;9912610888;Ativo;76235761000194;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
HZ;ANTÔNIO BRAZ E VANYA MAIA ADVOGADOS ASSO;9378;SUPERINTENDENCIA ESTADUAL PE  ;9912359378;Ativo;02580290000115;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Não
MTB;AQQUER ADMINISTRADORA;3136;SUPERINTENDENCIA ESTADUAL MT  ;9912693136;Ativo;30902499000193;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
MTL;ARBITRALIS;9610;SUPERINTENDENCIA ESTADUAL MG  ;9912549610;Ativo;39598937000146;CDIP - Curitiba;Sim;Não;0;Ativo;Não
SDX;ARBTRATO;9207;SUPERINTENDENCIA ESTADUAL SC  ;9912679207;Ativo;32150271000110;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
SWC;ARBTRATO;7920;SUPERINTENDENCIA ESTADUAL SC  ;9912679207;Ativo;32150271000110;CDIP/FLN3;Sim;Sim;30;Ativo;Sim
DGD;ASSEFAZ;7336;SUPERINTENDENCIA ESTADUAL BSB ;9912247335;Ativo;00628107000189;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
GJ;ASSEFAZ;7335;SUPERINTENDENCIA ESTADUAL BSB ;9912247335;Ativo;00628107000189;Desativado CDIP/BSB2;Sim;Não;180;Ativo;Não
STI;ASSOC AUDITORES FISCAIS REC ESTADUAL SP;3259;SUPERINTENDENCIA ESTADUAL SPM ;9912343259;Ativo;62635990000191;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SPP;ASSOC PLANO SAUDE STA CASA STS;5696;SUPERINTENDENCIA ESTADUAL SPM ;9912434596;Ativo;13001218000102;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RNF;ASSU GABINETE PREFEITO;3478;SUPERINTENDENCIA ESTADUAL RN  ;9912709686;Ativo;08294662000123;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
SYW;ATLAS COPCO BRASIL LTDA;4444;SUPERINTENDENCIA ESTADUAL SPM ;9912244446;Ativo;57029431000106;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
AT;(AT-850) ENEL - ALTA TENSAO;850;SUPERINTENDENCIA ESTADUAL SPM ;4400165921;;61695227000193;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
GPA;AUTARQUIA MUN TRANS TRANSP MOBILIDADE;7486;SUPERINTENDENCIA ESTADUAL GO  ;9912597486;Ativo;34937428000187;Desativado CDIP/BSB2;Sim;Sim;60;Ativo;Não
BX;AUTARQUIA MUNICIPAL DE MOBIILDADE DE PET;2126;SUPERINTENDENCIA ESTADUAL PE  ;9912422125;Ativo;35669753000179;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Não
HI;Autarquia Municipal de Mobilidade de Pet;2125;SUPERINTENDENCIA ESTADUAL PE  ;9912422125;Ativo;35669753000179;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
SQT;AUTLOG;9620;SUPERINTENDENCIA ESTADUAL SPM ;9912269620;Ativo;11617219000150;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SCN;AVELL;1265;SUPERINTENDENCIA ESTADUAL SC  ;9912521265;Ativo;19117785000105;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
SYM;A321 SOLUTIONS;7660;SUPERINTENDENCIA ESTADUAL SPM ;9912537660;Ativo;32699591000123;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
BAE;BAE - PREF. SANTO ESTEVÃO;9025;SUPERINTENDENCIA ESTADUAL BA  ;9912571509;Ativo;14042667000161;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
IT;BAHIA SECRETARIA DA FAZENDA - SEFAZ BA;1065;SUPERINTENDENCIA ESTADUAL BA  ;9912351065;Ativo;13937073000156;Desativado CDIP/BSB2;Não;Sim;60;Ativo;Não
LH;BANCO COOPERATIVO DO BRASIL - BANCOOB;9542;SUPERINTENDENCIA ESTADUAL BSB ;9912329540;Ativo;02038232000164;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
RB;BANCO COOPERATIVO SICREDI - BANSICREDI;7351;SUPERINTENDENCIA ESTADUAL RS  ;9912327734;Ativo;03795072000160;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
XZ;BANCO DA AMAZONIA S/A;6944;SUPERINTENDENCIA ESTADUAL PA  ;9912356944;Ativo;04902979000144;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
ZF;Banco Daycoval SA;5742;SUPERINTENDENCIA ESTADUAL SPM ;9912265742;Ativo;62232889000190;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
DFF;BANCO DO BRASIL - TALÃO;4992;SUPERINTENDENCIA ESTADUAL BSB ;9912324983;Ativo;00000000000191;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
GM;BANCO DO BRASIL S.A.;4988;SUPERINTENDENCIA ESTADUAL BSB ;9912324983;Ativo;00000000000191;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
EL;BANCO DO BRASIL S/A;4986;SUPERINTENDENCIA ESTADUAL BSB ;9912324983;Ativo;00000000000191;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
BB;BANCO DO BRASIL S/A;4983;SUPERINTENDENCIA ESTADUAL BSB ;9912324983;Ativo;00000000000191;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
BE;BANCO DO ESTADO DO ESPIRITO SANTO S.A.;461;SUPERINTENDENCIA ESTADUAL ES  ;9912274037;Ativo;28127603000178;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
QU;BANCO DO ESTADO DO RIO GRANDE DO SUL;6312;SUPERINTENDENCIA ESTADUAL RS  ;9912306311;Ativo;92702067000196;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
UU;BANCO DO ESTADO DO RIO GRANDE DO SUL;6311;SUPERINTENDENCIA ESTADUAL RS  ;9912306311;Ativo;92702067000196;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Não
XU;BANCO DO ESTADO DO RIO GRANDE DO SUL;6314;SUPERINTENDENCIA ESTADUAL RS  ;9912306311;Ativo;92702067000196;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
WU;BANCO DO ESTADO DO RIO GRANDE D0 SUL;6313;SUPERINTENDENCIA ESTADUAL RS  ;9912306311;Ativo;92702067000196;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
SRS;BANCO GM SA;1768;SUPERINTENDENCIA ESTADUAL SPM ;9912271767;Ativo;59274605000113;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
SXA;BANCO GMAC S A;1767;SUPERINTENDENCIA ESTADUAL SPM ;9912271767;Ativo;59274605000113;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SSB;BANCO HSBC S A;6170;SUPERINTENDENCIA ESTADUAL SPM ;9912596170;Ativo;53518684000184;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SZJ;BANCO ITAÚ - FLASHCOURIER;7214;SUPERINTENDENCIA ESTADUAL SPM ;9912257207;Ativo;60701190000104;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SZH;BANCO ITAÚ - MRS;2893;SUPERINTENDENCIA ESTADUAL SPM ;9912275104;Ativo;60701190000104;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SZI;BANCO ITAÚ - XIMENES;2895;SUPERINTENDENCIA ESTADUAL SPM ;9912275104;Ativo;60701190000104;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
KA;BANCO ITAU Consignado;7209;SUPERINTENDENCIA ESTADUAL SPM ;9912257207;Ativo;60701190000104;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MR;BANCO MERCANTIL DO BRASIL S/A;15;SUPERINTENDENCIA ESTADUAL MG  ;9912342782;Ativo;17184037000110;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MB;BANCO MERCANTIL DO BRASIL S/A;14;SUPERINTENDENCIA ESTADUAL MG  ;9912342782;Ativo;17184037000110;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MH;BANCO MERCANTIL DO BRASIL S/A;55;SUPERINTENDENCIA ESTADUAL MG  ;9912342782;Ativo;17184037000110;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SYR;BANCO PAN SA;2045;SUPERINTENDENCIA ESTADUAL SPM ;9912252045;Ativo;59285411000113;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SDF;BANCO SAFRA SA;9437;SUPERINTENDENCIA ESTADUAL SPM ;9912279437;Ativo;58160789000128;CDIP/SPM4;Não;Sim;30;Ativo;Não
SXM;BANCO SAFRA SA;9438;SUPERINTENDENCIA ESTADUAL SPM ;9912279437;Ativo;58160789000128;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
QS;BANCO SANTANDER - Senha Eletronica;6822;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
GP;BANCO SANTANDER BRASIL S/A;1074;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SQI;BANCO SANTANDER BRASIL SA;2268;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SDA;BANCO SANTANDER BRASIL SA;1223;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SQW;BANCO SANTANDER BRASIL SA;2226;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
DHB;BANCORBRAS;1084;SUPERINTENDENCIA ESTADUAL BSB ;9912391084;Ativo;00717967000199;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
SDI;BANDEIRANTE ENERGIA S/A;3357;SUPERINTENDENCIA ESTADUAL SPM ;9912373357;Ativo;02302100000106;CDIP/SPM4;Não;Sim;180;Ativo;Não
HP;BANESTES;4037;SUPERINTENDENCIA ESTADUAL ES  ;9912274037;Ativo;28127603000178;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RXE;BANRISUL;9912;SUPERINTENDENCIA ESTADUAL RS  ;9912306311;Ativo;92702067000196;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
XO;Banrisul S.A.;6315;SUPERINTENDENCIA ESTADUAL RS  ;9912306311;Ativo;92702067000196;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
BBJ;BCF ADMINISTRADORA DE BENS LTDA;8266;SUPERINTENDENCIA ESTADUAL RJ  ;9912278266;Ativo;28718740000187;CDIP/SPM4;Não;Sim;180;Ativo;Sim
QL;BCO SANTANDER EXTRATO PRIVATE;6825;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
PRJ;BELARO COMERCIO DE PRODUTOS OPTICOS LTDA;6669;SUPERINTENDENCIA ESTADUAL PR  ;9912386669;Ativo;07453538000109;CDIP - Curitiba;Não;Sim;30;Ativo;Não
PFL;BENEFICENCIA CAMILIANA DO SUL PFL;6207;SUPERINTENDENCIA ESTADUAL PR  ;9912526207;Ativo;83506030000100;CDIP - Curitiba;Não;Sim;180;Ativo;Não
RXT;BICA JET;6112;SUPERINTENDENCIA ESTADUAL RS  ;9912356112;Ativo;92949213000182;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
MIO;BIOSUL PROD DIAGNOSTICOS LTDA;5626;SUPERINTENDENCIA ESTADUAL MG  ;9912345626;Ativo;05905525000190;CDIP - Curitiba;Não;Sim;90;Ativo;Não
DFX;BITDOX;6116;SUPERINTENDENCIA ESTADUAL BSB ;9912526115;Ativo;40793974000194;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
DGX;BITDOX SERV TEC;6115;SUPERINTENDENCIA ESTADUAL BSB ;9912526115;Ativo;40793974000194;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
CEG;BNB;4265;SUPERINTENDENCIA ESTADUAL CE  ;9912274265;Ativo;07237373000120;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
CEI;BNB;7426;SUPERINTENDENCIA ESTADUAL CE  ;9912274265;Ativo;07237373000120;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
CFE;BNB;4266;SUPERINTENDENCIA ESTADUAL CE  ;9912274265;Ativo;07237373000120;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
MHB;BOM DESPACHO PREFEITURA GAB DO PREFEITO;3990;SUPERINTENDENCIA ESTADUAL MG  ;9912493990;Ativo;18301002000186;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
SPL;BOOK PLAY COM DE LIVROS LTDA;2650;SUPERINTENDENCIA ESTADUAL SPI ;9912650664;Ativo;06943073000101;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SZT;BORA TRANSPORTES LTDA;7613;SUPERINTENDENCIA ESTADUAL SPM ;9912357613;Ativo;05504835000100;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SQL;BPP INSTITUICAO DE PAGAMENTO S A;7899;SUPERINTENDENCIA ESTADUAL SPM ;9912378990;Cancelado;13370835000185;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
PBN;BR CONNECT TELE COMUNICACOES;8485;SUPERINTENDENCIA ESTADUAL PR  ;9912698485;Ativo;10380826000187;CDIP - Curitiba;Sim;Não;;Ativo;Não
VI;BRADESCO;2241;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
NN;BRADESCO - ALELO MIDDLE;2811;SUPERINTENDENCIA ESTADUAL SPM ;9912210684;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
NN;BRADESCO - ALELO MIDDLE;2811;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
QH;Bradesco Cartao Cencosud;2249;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SPY;BRADESCO EST UNIF;8343;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SRV;BRADESCO EST UNIF;2239;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SQX;BRADESCO EST UNIF;2232;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MJA;BRASIL CARD MEIOS DE PAGAMENTOS LTDA;2499;SUPERINTENDENCIA ESTADUAL MG  ;9912312623;Ativo;03130170000189;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SRZ;BRASIL CASH;1342;SUPERINTENDENCIA ESTADUAL SPM ;9912471342;Suspenso;30507541000171;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SQS;BRINKS SEGURANÇA TRANSPORTE VALORES LTDA;5818;SUPERINTENDENCIA ESTADUAL SPM ;9912315818;Ativo;60860087001251;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
MGZ;BRZ EMPREENDIMENTOS E CONSTRUCOES S A;7383;SUPERINTENDENCIA ESTADUAL MG  ;9912357383;Ativo;04065053000141;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
BT;(BT-51) BANCO SANTANDER S/A - (TALÃO);51;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MHF;BURITIZEIRO PREFEITURA GAB PREFEITO;8443;SUPERINTENDENCIA ESTADUAL MG  ;9912458442;Suspenso;18279067000172;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MHE;BURITIZEIRO PREFEITURA GAB PREFEITO;8442;SUPERINTENDENCIA ESTADUAL MG  ;9912458442;Suspenso;18279067000172;CDIP - Curitiba;Não;Sim;30;Ativo;Não
BZ;(BZ-2294) MUNDIAL LOGISTICA INTEGRADA LT;2294;SUPERINTENDENCIA ESTADUAL SPM ;9912402294;Suspenso;05075152000177;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
MQ;C B S MEDICO CIENTIFICA SA;5847;SUPERINTENDENCIA ESTADUAL SPM ;9912275847;Ativo;48791685000168;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
PEV;CABO GABINETE PREFEITO;7970;SUPERINTENDENCIA ESTADUAL PE  ;9912447970;Ativo;11294402000162;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
BAL;CAETITE PREFEITURA GABINETE DO PREFEITO;7042;SUPERINTENDENCIA ESTADUAL BA  ;9912527042;Ativo;13811476000154;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
CET;CAGECE;487;SUPERINTENDENCIA ESTADUAL CE  ;9912560487;Cancelado;07040108000157;Desativado - CDIP/SPM3;Sim;Sim;30;Cancelado;Não
RNU;CAICO GABINETE PREFEITO;5416;SUPERINTENDENCIA ESTADUAL RN  ;9912555416;Ativo;08096570000139;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
SYO;CAIXA BENEF DOS FUNC DO BCO DO EST DE SA;7284;SUPERINTENDENCIA ESTADUAL SPM ;9912272842;Ativo;62231527000184;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SQV;CAIXA BENEF DOS FUNC DO BCO DO EST DE SA;2842;SUPERINTENDENCIA ESTADUAL SPM ;9912272842;Ativo;62231527000184;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
WJ;CAIXA ECONÔMICA FEDERAL;7022;SUPERINTENDENCIA ESTADUAL BSB ;9912285689;Ativo;00360305561807;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
XY;CAIXA ECONÔMICA FEDERAL;7020;SUPERINTENDENCIA ESTADUAL BSB ;9912285689;Ativo;00360305561807;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
JY;CAIXA ECONOMICA FEDERAL - CEVIG;5689;SUPERINTENDENCIA ESTADUAL BSB ;9912285689;Ativo;00360305561807;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
DFG;CAIXA ECONÔMICA FEDERAL - REPFGBE;5691;SUPERINTENDENCIA ESTADUAL BSB ;9912285689;Ativo;00360305561807;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
SXH;CAMARA DE COMERCIO BRASIL CANADA;2671;SUPERINTENDENCIA ESTADUAL SPM ;9912382671;Ativo;43737840000144;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
BBH;CAMARA MUN DE BELO HORIZONTE MG - BBH;9361;SUPERINTENDENCIA ESTADUAL MG  ;9912709361;Ativo;17316563000196;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MGQ;CAMPO BELO GABINETE PREFEITO;3240;SUPERINTENDENCIA ESTADUAL MG  ;9912343240;Suspenso;18659334000137;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
